ADP-ID,STAND_COUNT,SITES,REPS,DISEASE SCORE 3rd JUNE,DISEASE_SCORE 9TH JUNE,DISEASE_SCORE19THJUNE,BLOCKS
loc0005,30,1,1,1,1,1,1
ADP0038,26,1,1,1,1,1,1
ADP0049,23,1,1,1,2,4,1
ADP0059,30,1,1,1,1,2,1
ADP0062,26,1,1,1,2,5,1
ADP0467,29,1,1,2,3,5,1
ADP0395,26,1,1,1,1,5,1
ADP0247,24,1,1,1,2,5,1
ADP0524,10,1,1,1,1,4,1
ADP0115,26,1,1,1,3,5,1
ADP0563,28,1,1,1,2,2,1
ADP0585,29,1,1,2,3,5,1
ADP0112,26,1,1,1,1,1,1
ADP0051,20,1,1,1,1,1,2
ADP0584,28,1,1,1,2,4,2
ADP0064,22,1,1,1,2,3,2
ADP0551,23,1,1,1,1,1,2
ADP0052,18,1,1,1,3,2,2
ADP0413,21,1,1,1,3,4,2
ADP0571,30,1,1,1,1,1,2
ADP0166,28,1,1,1,1,2,2
ADP0025,18,1,1,1,2,2,2
ADP0126,18,1,1,1,3,2,2
ADP0517,26,1,1,1,2,4,2
ADP0379,23,1,1,1,3,4,2
ADP0211,21,1,1,1,1,1,2
ADP0468,30,1,1,1,1,1,3
ADP0562,31,1,1,1,1,3,3
ADP0075,21,1,1,1,1,3,3
ADP0276,19,1,1,1,2,3,3
ADP0077,27,1,1,1,1,3,3
ADP0099,25,1,1,1,2,4,3
ADP0017,27,1,1,1,2,5,3
ADP0354,27,1,1,1,2,5,3
ADP0551,24,1,1,1,1,1,3
ADP0084,23,1,1,1,3,4,3
ADP0267,28,1,1,1,1,1,3
ADP0471,27,1,1,1,2,2,3
ADP0666,15,1,1,1,2,2,3
ADP0045,20,1,1,1,2,3,4
ADP0520,16,1,1,1,2,4,4
ADP0383,23,1,1,1,2,2,4
ADP0048,18,1,1,1,2,5,4
ADP0636,30,1,1,1,2,4,4
ADP0056,22,1,1,1,2,2,4
ADP0462,28,1,1,1,3,5,4
ADP0042,20,1,1,1,1,3,4
ADP0555,23,1,1,1,2,2,4
ADP0083,20,1,1,1,2,4,4
ADP0529,28,1,1,1,2,2,4
ADP0013,22,1,1,1,2,3,4
ADP0037,22,1,1,1,3,3,4
ADP0089,23,1,1,1,2,1,5
loc0002,32,1,1,1,2,4,5
ADP0043,22,1,1,1,2,4,5
ADP0546,29,1,1,1,3,5,5
ADP0006,21,1,1,1,2,4,5
ADP0005,24,1,1,1,1,5,5
ADP0587,28,1,1,2,4,5,5
ADP0027,24,1,1,1,3,4,5
ADP0121,27,1,1,1,2,5,5
ADP0573,26,1,1,2,2,5,5
ADP0582,27,1,1,1,3,5,5
ADP0663,24,1,1,1,3,4,5
ADP0188,22,1,1,1,2,1,5
ADP0516,24,1,1,1,1,3,6
ADP0662,19,1,1,1,3,3,6
ADP0086,25,1,1,1,2,3,6
ADP0118,29,1,1,1,3,5,6
ADP0041,20,1,1,1,2,4,6
ADP0346,23,1,1,1,3,5,6
ADP0510,28,1,1,1,2,5,6
ADP0466,24,1,1,1,1,2,6
ADP0053,28,1,1,1,2,4,6
ADP0528,26,1,1,1,1,1,6
ADP0277,26,1,1,2,3,4,6
ADP0392,12,1,1,1,3,3,6
ADP0461,24,1,1,1,3,1,6
ADP0561,30,1,1,1,2,2,7
ADP0465,20,1,1,1,3,4,7
ADP0205,28,1,1,1,1,3,7
ADP0651,26,1,1,2,3,2,7
ADP0526,30,1,1,1,1,2,7
ADP0569,27,1,1,1,3,4,7
ADP0031,27,1,1,1,2,4,7
ADP0030,20,1,1,1,1,1,7
ADP0208,27,1,1,2,2,5,7
ADP0199,19,1,1,1,2,4,7
ADP0540,30,1,1,1,2,2,7
ADP0525,12,1,1,1,2,4,7
ADP0224,25,1,1,2,3,5,8
ADP0061,12,1,1,1,3,3,8
ADP0530,30,1,1,1,1,2,8
ADP0035,28,1,1,1,2,2,8
ADP0090,21,1,1,1,1,3,8
ADP0739,28,1,1,1,1,2,8
ADP0654,26,1,1,1,3,4,8
ADP0117,30,1,1,1,2,5,8
ADP0566,32,1,1,2,1,4,8
ADP0255,22,1,1,1,2,5,8
ADP0580,29,1,1,2,4,5,8
ADP0539,29,1,1,1,2,3,8
ADP0020,15,1,1,1,1,3,9
loc0001,33,1,1,1,2,3,9
ADP0214,25,1,1,1,1,1,9
ADP0522,24,1,1,1,2,3,9
ADP0127,23,1,1,1,2,3,9
ADP0207,27,1,1,1,3,1,9
ADP0186,22,1,1,2,2,4,9
ADP0008,33,1,1,2,1,4,9
ADP0107,29,1,1,1,2,5,9
ADP0098,28,1,1,1,1,3,9
ADP0554,24,1,1,1,2,2,9
ADP0271,24,1,1,2,3,4,9
ADP0537,29,1,1,1,1,2,10
ADP0650,26,1,1,1,2,3,10
ADP0011,24,1,1,1,2,4,10
ADP0272,30,1,1,1,2,3,10
ADP0661,25,1,1,1,2,2,10
ADP0078,22,1,1,1,2,2,10
ADP0122,30,1,1,1,2,2,10
ADP0518,19,1,1,1,2,2,10
ADP0531,24,1,1,1,3,4,10
ADP0648,20,1,1,1,3,3,10
ADP0568,22,1,1,1,2,3,10
ADP0009,26,1,1,2,1,2,10
ADP0055,27,1,1,1,3,3,10
ADP0213,24,1,1,1,2,3,11
ADP0054,29,1,1,2,2,3,11
ADP0014,20,1,1,2,2,1,11
ADP0021,18,1,1,1,2,3,11
ADP0523,22,1,1,1,2,1,11
loc0003,3,1,1,1,1,1,11
ADP0345,25,1,1,1,2,3,11
ADP0478,20,1,1,1,2,3,11
ADP0018,20,1,1,1,3,5,11
ADP0472,30,1,1,2,3,5,11
loc0004,23,1,1,1,3,5,11
ADP0519,27,1,1,1,3,4,11
ADP0508,12,1,1,1,3,3,11
ADP0070,19,1,1,1,2,2,12
ADP0717,24,1,1,1,1,1,12
ADP0729,30,1,1,1,2,3,12
ADP0100,20,1,1,1,2,2,12
ADP0459,30,1,1,1,1,1,12
ADP0015,28,1,1,1,3,3,12
ADP0310,31,1,1,2,3,5,12
ADP0353,20,1,1,1,2,2,12
ADP0047,25,1,1,1,2,3,12
ADP0168,30,1,1,1,2,4,12
ADP0659,26,1,1,1,2,1,12
ADP0105,28,1,1,1,3,1,12
ADP0106,26,1,1,1,1,4,12
ADP0029,28,1,1,1,2,5,13
